Spectrum Number,Pressure,Pressure_err,Pressure_vary,Segment Number,Temperature,Temperature_err,Temperature_vary,baseline_a,baseline_a_err,baseline_a_vary,baseline_b,baseline_b_err,baseline_b_vary,etalon_1_amp,etalon_1_amp_err,etalon_1_amp_vary,etalon_1_freq,etalon_1_freq_err,etalon_1_freq_vary,etalon_1_phase,etalon_1_phase_err,etalon_1_phase_vary,molefraction_O2,molefraction_O2_err,molefraction_O2_vary,x_shift,x_shift_err,x_shift_vary
1.0,0.07911117863197367,0,False,1.0,297.9037456816823,0,False,2.957090557503572,0,True,0.0,0,True,0.001364,0,True,1.271443,0,False,0.0,0,True,0.01949,0,False,0.0,0,False
2.0,0.065557866345,0,False,1.0,297.90824458315126,0,False,2.9594801744889736,0,True,0.0,0,True,0.001364,0,True,1.271443,0,False,0.0,0,True,0.01949,0,False,0.0,0,False
3.0,0.04601732072934212,0,False,1.0,297.8763033500253,0,False,2.9568289239446224,0,True,0.0,0,True,0.001364,0,True,1.271443,0,False,0.0,0,True,0.01949,0,False,0.0,0,False
4.0,0.02488448197434211,0,False,1.0,297.8649098940256,0,False,2.949259685032069,0,True,0.0,0,True,0.001364,0,True,1.271443,0,False,0.0,0,True,0.01949,0,False,0.0,0,False
